% Model:              Transmission rate calculation.mph
% Version:            COMSOL 6.2.0.290
% Date:               Jul 9 2025, 16:06
% Table:              目标表面 - 目标表面
% B1 (mm)                freq (Hz)                abs(comp1.w) (m)
56                       87000                    8.27519896658005E-7
56                       88000                    1.2552350641972064E-6
56                       89000                    1.5146176666694777E-6
56                       90000                    1.1074791871590158E-6
56                       91000                    8.70406049674336E-7
56                       92000                    8.23393878950306E-7
56                       93000                    9.355079384151309E-7
56                       94000                    1.2886228944220035E-6
56                       95000                    1.807039197832889E-6
56                       96000                    1.4001687870351912E-6
56                       97000                    9.674455142591592E-7
56                       98000                    8.022743453360027E-7
56                       99000                    7.916278847232206E-7
56                       100000                   9.236628220271917E-7
57                       10000                    5.073320700316154E-7
57                       11000                    1.8492496571441415E-6
57                       12000                    5.882214563740205E-7
57                       13000                    4.615436007671624E-7
57                       14000                    1.2180737158788186E-6
57                       15000                    6.143650012806232E-7
57                       16000                    3.775450980192071E-7
57                       17000                    5.302974958359263E-7
57                       18000                    1.2335210278461978E-6
57                       19000                    4.2627629358339953E-7
57                       20000                    3.5374096027878774E-7
57                       21000                    5.770151545587614E-7
57                       22000                    7.791358700559504E-7
57                       23000                    3.7035887028130914E-7
57                       24000                    3.6260009722193477E-7
57                       25000                    6.378637269905911E-7
57                       26000                    7.300057869230061E-7
57                       27000                    5.341502441147752E-7
57                       28000                    5.799969116069381E-7
57                       29000                    7.930081133486217E-7
57                       30000                    1.1462203266593215E-6
57                       31000                    1.4017446433322496E-6
57                       32000                    1.1578005047282187E-6
57                       33000                    9.659851743124664E-7
57                       34000                    1.0661710666819353E-6
57                       35000                    1.6901934103133693E-6
57                       36000                    1.7021233385107813E-6
57                       37000                    9.648198051282272E-7
57                       38000                    7.797050457455731E-7
57                       39000                    8.814148242766516E-7
57                       40000                    1.4427932246176382E-6
57                       41000                    1.6626428194713632E-6
57                       42000                    9.067355329013796E-7
57                       43000                    6.956019125108339E-7
57                       44000                    7.270799309014411E-7
57                       45000                    1.0472258976414974E-6
57                       46000                    1.7514001298580082E-6
57                       47000                    1.0966415067180148E-6
57                       48000                    7.482531029315605E-7
57                       49000                    7.032418286149214E-7
57                       50000                    8.900242583906015E-7
57                       51000                    1.5190418591624187E-6
57                       52000                    1.3392624447091878E-6
57                       53000                    7.987012831859745E-7
57                       54000                    6.463186810607268E-7
57                       55000                    6.796672779365005E-7
57                       56000                    9.388432881366018E-7
57                       57000                    1.6726154397764157E-6
57                       58000                    1.3572936604372767E-6
57                       59000                    8.608356221220824E-7
57                       60000                    7.416331343568054E-7
57                       61000                    8.384145941487904E-7
57                       62000                    1.2668621733321697E-6
57                       63000                    1.637537246294252E-6
57                       64000                    9.486600712167941E-7
57                       65000                    6.630246627877913E-7
57                       66000                    5.950595705192615E-7
57                       67000                    6.648819554811183E-7
57                       68000                    9.362220029526759E-7
57                       69000                    1.3539152146289931E-6
57                       70000                    9.726977070913316E-7
57                       71000                    6.738824934363621E-7
57                       72000                    5.862209984035941E-7
57                       73000                    6.293380415203057E-7
57                       74000                    8.39441326183188E-7
57                       75000                    1.2484651578683755E-6
57                       76000                    1.0287107744292732E-6
57                       77000                    6.902333070934506E-7
57                       78000                    5.670487902483783E-7
57                       79000                    5.662142669855848E-7
57                       80000                    6.820990616690409E-7
57                       81000                    9.781711626099476E-7
57                       82000                    1.190456839985211E-6
57                       83000                    8.686224504576383E-7
57                       84000                    6.60134200252013E-7
57                       85000                    6.002863541444452E-7
57                       86000                    6.471689102719395E-7
57                       87000                    8.320638320280852E-7
57                       88000                    1.2720554209912692E-6
57                       89000                    1.5860695353333033E-6
57                       90000                    1.142642089566554E-6
57                       91000                    8.814727639281063E-7
57                       92000                    8.22253968152068E-7
57                       93000                    9.20149338035609E-7
57                       94000                    1.2390771937598028E-6
57                       95000                    1.7123792776871781E-6
57                       96000                    1.3779492516056502E-6
57                       97000                    9.581725220634125E-7
57                       98000                    7.884888639762102E-7
57                       99000                    7.685784843511815E-7
57                       100000                   8.828975788508541E-7
58                       10000                    5.041705869859291E-7
58                       11000                    1.782158117120402E-6
58                       12000                    6.006929564050449E-7
58                       13000                    4.649569917748606E-7
58                       14000                    1.2162274865062924E-6
58                       15000                    6.103871467183938E-7
58                       16000                    3.7159035198183915E-7
58                       17000                    5.100011748366537E-7
58                       18000                    1.2848604862869572E-6
58                       19000                    4.415192178164658E-7
58                       20000                    3.6039880925334156E-7
58                       21000                    5.845064228147706E-7
58                       22000                    7.743651783159828E-7
58                       23000                    3.653833365203247E-7
58                       24000                    3.537827035363346E-7
58                       25000                    6.147229118720749E-7
58                       26000                    7.539931221484105E-7
58                       27000                    5.465540569931065E-7
58                       28000                    5.854312993118834E-7
58                       29000                    7.90399973010933E-7
58                       30000                    1.1318335634044993E-6
58                       31000                    1.4026293904161346E-6
58                       32000                    1.1770914690344427E-6
58                       33000                    9.79181314645685E-7
58                       34000                    1.0755696784170484E-6
58                       35000                    1.6986975149642337E-6
58                       36000                    1.68710011914908E-6
58                       37000                    9.497266906424771E-7
58                       38000                    7.612184823506908E-7
58                       39000                    8.478371066031204E-7
58                       40000                    1.357527612713659E-6
58                       41000                    1.7411973933727025E-6
58                       42000                    9.530564830142483E-7
58                       43000                    7.195006835664504E-7
58                       44000                    7.462645809322097E-7
58                       45000                    1.0731609071528703E-6
58                       46000                    1.7671977687023336E-6
58                       47000                    1.077541641698432E-6
58                       48000                    7.320077702357683E-7
58                       49000                    6.82383910919033E-7
58                       50000                    8.503545714385543E-7
58                       51000                    1.4407103763083655E-6
