% Model:              Transmission rate calculation.mph
% Version:            COMSOL 6.2.0.290
% Date:               Jul 9 2025, 16:30
% Table:              目标表面 - 目标表面
% B1 (mm)                freq (Hz)                abs(comp1.w) (m)
55                       10000                    5.068754392998583E-7
55                       11000                    5.597837671972062E-7
55                       12000                    1.320177000615728E-6
55                       13000                    3.707105507144539E-7
55                       14000                    3.06819328251401E-7
55                       15000                    5.242472545046428E-7
55                       16000                    1.1641887289717742E-6
55                       17000                    5.099988945988868E-7
55                       18000                    5.947485485472126E-7
55                       19000                    1.2357996781909424E-6
55                       20000                    4.6276525158632233E-7
55                       21000                    3.459027767705662E-7
55                       22000                    4.7286624873103435E-7
55                       23000                    7.799343686541724E-7
55                       24000                    3.897609474112052E-7
55                       25000                    3.36920890267192E-7
55                       26000                    4.6504028641622793E-7
55                       27000                    7.419333078774388E-7
55                       28000                    7.422902345861248E-7
55                       29000                    7.363182112813899E-7
55                       30000                    8.672850615020265E-7
55                       31000                    1.1410828952524568E-6
55                       32000                    1.4700732441171612E-6
55                       33000                    1.0708145228510779E-6
55                       34000                    6.962697535316495E-7
55                       35000                    5.746389121314104E-7
55                       36000                    6.12559009922848E-7
55                       37000                    8.781468244023502E-7
55                       38000                    1.4599476593822498E-6
55                       39000                    9.489231385143537E-7
55                       40000                    6.452587512949682E-7
55                       41000                    6.002479095807146E-7
55                       42000                    7.503412994206396E-7
55                       43000                    1.3873941333260546E-6
55                       44000                    1.843335456908106E-6
55                       45000                    9.677902856338736E-7
55                       46000                    7.760449901167292E-7
55                       47000                    8.809581493654503E-7
55                       48000                    1.3975152488117123E-6
55                       49000                    1.4594042481385554E-6
55                       50000                    8.308249163610148E-7
55                       51000                    6.281891016666317E-7
55                       52000                    6.139848886794686E-7
55                       53000                    7.619416250116642E-7
55                       54000                    1.241169108950509E-6
55                       55000                    1.8620150843766E-6
55                       56000                    1.288288898028597E-6
55                       57000                    1.0668681298460991E-6
55                       58000                    1.236732472466853E-6
55                       59000                    1.8739277286470076E-6
55                       60000                    1.3302502085047853E-6
55                       61000                    7.417415308304482E-7
55                       62000                    5.419218648565905E-7
55                       63000                    4.885223036103147E-7
55                       64000                    5.297555931448795E-7
55                       65000                    6.917177879426519E-7
55                       66000                    9.423153865769906E-7
55                       67000                    7.756135781916812E-7
55                       68000                    5.423112268311063E-7
55                       69000                    4.499016094188181E-7
55                       70000                    4.4798139676416184E-7
55                       71000                    5.363984552152574E-7
55                       72000                    7.774579207131544E-7
55                       73000                    1.0326515760753158E-6
55                       74000                    7.668060577089889E-7
55                       75000                    5.75018291830857E-7
55                       76000                    5.274095502297872E-7
55                       77000                    5.872466649061402E-7
55                       78000                    7.769144787880378E-7
55                       79000                    9.349052207289096E-7
55                       80000                    6.959520458947441E-7
55                       81000                    5.037452497019026E-7
55                       82000                    4.2597316584830566E-7
55                       83000                    4.175964859351324E-7
55                       84000                    4.692229820181411E-7
55                       85000                    6.022608510181023E-7
55                       86000                    8.531629109899607E-7
55                       87000                    1.0745426663244808E-6
55                       88000                    9.881179598113012E-7
55                       89000                    8.7903791282647E-7
55                       90000                    8.946759472378992E-7
55                       91000                    1.0792531256078805E-6
55                       92000                    1.5320934988355555E-6
55                       93000                    1.829776594205184E-6
55                       94000                    1.322209050279431E-6
55                       95000                    9.93344904149095E-7
55                       96000                    8.924590873944373E-7
55                       97000                    9.524235696579891E-7
55                       98000                    1.1970463030409116E-6
55                       99000                    1.5711378699066968E-6
55                       100000                   1.4194553894045243E-6
56                       10000                    4.898558889107324E-7
56                       11000                    5.243444906402188E-7
56                       12000                    1.4286751218469208E-6
56                       13000                    3.8327895165444517E-7
56                       14000                    3.059051468609762E-7
56                       15000                    5.001412172731421E-7
56                       16000                    1.260626270447758E-6
56                       17000                    5.34781141510177E-7
56                       18000                    6.079892946604535E-7
56                       19000                    1.2439900010780044E-6
56                       20000                    4.537985988007508E-7
56                       21000                    3.301692089507661E-7
56                       22000                    4.2735218347596825E-7
56                       23000                    7.971787658698006E-7
56                       24000                    4.317975797177138E-7
56                       25000                    3.6036028812374015E-7
56                       26000                    4.888651548058186E-7
56                       27000                    7.485247168338838E-7
56                       28000                    7.119865126140771E-7
56                       29000                    6.963337036064472E-7
56                       30000                    8.166288432820214E-7
56                       31000                    1.0842608862516096E-6
56                       32000                    1.4884794433907663E-6
56                       33000                    1.1278985499511178E-6
56                       34000                    7.049982060098437E-7
56                       35000                    5.616677061463754E-7
56                       36000                    5.759155770884532E-7
56                       37000                    7.817784646860587E-7
56                       38000                    1.4011950272289199E-6
56                       39000                    1.149198079112807E-6
56                       40000                    7.394446367433954E-7
56                       41000                    6.666114440752754E-7
56                       42000                    8.299299884284508E-7
56                       43000                    1.578028098025366E-6
56                       44000                    1.6872667337589966E-6
56                       45000                    8.758029851867694E-7
56                       46000                    6.968446162251524E-7
56                       47000                    7.613530850547018E-7
56                       48000                    1.1309071183508015E-6
56                       49000                    1.5042858203913758E-6
56                       50000                    9.169411858034047E-7
56                       51000                    6.663713108575925E-7
56                       52000                    6.304731391451281E-7
56                       53000                    7.606289517597584E-7
56                       54000                    1.2137066914042231E-6
56                       55000                    1.9527550069367484E-6
56                       56000                    1.3365705956624765E-6
56                       57000                    1.05215369465391E-6
56                       58000                    1.1539906165141832E-6
56                       59000                    1.670476188861388E-6
56                       60000                    1.3690748643717272E-6
56                       61000                    7.573218288796375E-7
56                       62000                    5.353726162265181E-7
56                       63000                    4.660496756921411E-7
56                       64000                    4.847136678881315E-7
